Hikaru,Hikaru Nakamura
FairChess_on_YouTube,Dmitry Andreikin
MagnusCarlsen,Magnus Carlsen
jefferyx,Jeffery Xiong
Firouzja2003,Alireza Firouzja
Duhless,Daniil Dubov
LyonBeast,Maxime Vachier-Lagrave
Oleksandr_Bortnyk,Olexandr Bortnyk
mishanick,Alexey Sarana
Jospem,Jose Martinez Alcantara
wonderfultime,Le Tuan Minh
Bigfish1995,Vladimir Fedoseev
Polish_fighter3000,Jan-Krzysztof Duda
exoticprincess,Baadur Jobava (X)
Parhamov,Parham Maghsoodloo
Grischuk,Alexander Grischuk
Sibelephant,Vladislav Artemiev
nihalsarin,Nihal Sarin
lachesisQ,Ian Nepomniachtchi
GeorgMeier,Georg Meier
dropstoneDP,David Paravyan (*)
DenLaz,Denis Lazavik
jcibarra,Jose Carlos Ibarra Jerez
BogdanDeac,Bogdan-Daniel Deac
ChessWarrior7197,Nodirbek Abdusattorov
Azerichess,Shakhriyar Mamedyarov
HansOnTwitch,Hans Niemann (M)
Njal28,Aram Hakobyan (B)
DanielNaroditsky,Daniel Naroditsky
Konavets,Samuel Sevian
GMWSO,Wesley So (*)
EltajSafarli,Eltaj Safarli (C)
LiemLe,Le Quang Liem
sergiochess83,Sergey Grigoriants
GGuseinov,Gadir Guseinov
GOGIEFF,Anton Korobov
FabianoCaruana,Fabiano Caruana
Msb2,Matthias Bluebaum
Alexander_Moskalenko,Alexander Moskalenko
ChristopherYoo,Christopher Yoo
GM_dmitrij,Dmitrij Kollars
Salem-AR,Salem Saleh
iturrizaga,Eduardo Iturrizaga
Dlugy,Maxim Dlugy (M)
vugarrasulov,Vugar Rasulov
E-Shaposhnikov,Evgeny Shaposhnikov (X)
penguingm1,Andrew Tang
tigra,Boris Savchenko
vi_pranav,Pranav Venkatesh
RD4ever,Rustam Khusnutdinov (M)
kirillshevchenko,Kirill Shevchenko
hanzo_hasashi1,Nodirbek Yakubboev (C)
daro94,Dariusz Swiercz
Tal-Baronfew,Tal Baron (B)
Genghis_K,Federico Perez Ponsa
Micki-taryan,Haik Martirosyan (!)
AryanTari,Aryan Tari
OparinGrigoriy,Grigoriy Oparin
Anton_Demchenko,Anton Demchenko
dretch,Conrad Holt
Eltaj_Safarli,Eltaj Safarli (C)
viditchess,Vidit Santosh Gujrathi
platy3,Alan Pichot
GHANDEEVAM2003,Arjun Erigaisi
BillieKimbah,Maxim Matlakov
Fandorine,Maksim Chigaev
Zaven_ChessMood,Zaven Andriasian (C)
GigaQuparadze,Giga Quparadze
MinhGTrAn,Tran Tuan Minh (C)
BilodeauA,Kirill Alekseenko
RaunakSadhwani2005,Raunak Sadhwani
VladDobrov,Vladimir Dobrov (S)
PSvidler,Peter Svidler
TigranLPetrosyan,Tigran L. Petrosian (X)
LevonAronian,Levon Aronian
TigrVShlyape,Gata Kamsky (*)
vladislavkovalev,Vladislav Kovalev
Sviridov_Valery,Valery Sviridov (C)
howitzer14,David Howell
joppie2,Jorden van Foreest
Indianlad,Sunilduth Lyna Narayanan
Boryboy,Borya Ider
tptagain,David Anton Guijarro
yurisolo,Yuri Solodovnichenko (X)
CheshireBat,Yuri Solodovnichenko (X)
artooon,Pranesh Munirethinam
SergeyKarjakin,Sergey Karjakin (i)
GM_Levan_Pantsulaia,Levan Pantsulaia
DominguezOnYoutube,Leinier Dominguez Perez
Izoria123,Zviad Izoria (*)
VitaliyBernadskiy,Vitaliy Bernadskiy
kpio91,Kacper Piorun
DrVelja,Velimir Ivic
Shankland,Samuel Shankland
rpragchess,Rameshbabu Praggnanandhaa
SpeedofLight0,Andrew Hong
VladimirKramnik,Vladimir Kramnik
sergoy,Sergey Drygalov
AnishOnYoutube,Anish Giri
pKiLz5Rn9b,David Gorodetzky (*)
danyuffa,Daniil Yuffa (S)
mukhin1,Aram Hakobyan (B)
HakobyanAram,Aram Hakobyan (B)
nijat_a,Nijat Abasov (?)
Muisback26,Rauf Mamedov
Shant_Sargsyan,Shant Sargsyan (C)
9ShMat2,Matvei Shcherbin (X)
ZapataCharlesS,Santiago Zapata Charles (X)
Elshan1985,Elshan Moradi Abadi
gkchesstiger,Gata Kamsky (*)
Fighterman91,Pouria Darini
Igrok3069,Alexey Dreev
BahadirOzen,Bahadir Ozen (B)
Enozen,Bahadir Ozen (B)
PaulfromSPb,Pavel Anisimov (S)
