DrGrekenstein,Magnus Carlsen
DrNykterstein,Magnus Carlsen
DrDrunkenstein,Magnus Carlsen
DannyTheDonkey,Magnus Carlsen
manwithavan,Magnus Carlsen
DrChampionstein,Magnus Carlsen
STL_Carlsen,Magnus Carlsen
ChessJuice,Tal Baron (X)
Grey_parrot,GM Grey_parrot
damnsaltythatsport,Magnus Carlsen
alireza2003,Alireza Firouzja
Konevlad,Vladislav Artemiev
penguingim1,Andrew Tang
CleverTacticButFail,Andrew Tang
C9C9C9C9C9,Andrew Tang
galbijjim,LM galbijjim
Sasha,Alexander Grischuk
junglebook1,Nihal Sarin
RebeccaHarris,Daniel Naroditsky
avalongamemaster,Maxime Vachier-Lagrave
Jepetto,Ian Nepomniachtchi
Wild-King91,GM Wild-King91
Zhigalko_Sergei,Sergei Zhigalko
Ultimate_SHSL_Gamer,LM Ultimate_SHSL_Gamer
chessbrahs,Eric Hansen
nihalsarin2004,Nihal Sarin
keithster,Eric Hansen
Watneg,GM Watneg
Night-King96,Olexandr Bortnyk
muisback,Rauf Mamedov
STL_So,Wesley So
mutdpro,Le Tuan Minh
Azzaro25,Anish Giri
Sparta299,Samuel Sevian
daro94,Dariusz Swiercz
Vladimirovich9000,Dmitry Andreikin
FairChess_on_YouTube,Dmitry Andreikin
Gbeto,GM Gbeto
UnVieuxMonsieur,Jules Moussard
Inventing_Invention,Arjun Erigaisi
lodewijkfrederik,Vincent Rothuis
AnishGiri,Anish Giri
opperwezen,Vincent Rothuis
wateenellende,Vincent Rothuis
SVODMEVKO,Daniil Dubov
FeegLood,Jeffery Xiong
CheeseMuffin,IM CheeseMuffin
neslraCsungaM77,Rauf Mamedov
Arka50,GM Arka50
STL_Grischuk,Alexander Grischuk
STL_Xiong,Jeffery Xiong
AnishOnYoutube,Anish Giri
Bombegranate,Fabiano Caruana
sp1cycaterpillar,Ray Robson
bushidonaruto,GM bushidonaruto
hansontwitch,Hans Niemann
Thanozz,GM Thanozz
Eduiturri,Eduardo Iturrizaga
drop_stone,David Paravyan
Federicov93,Federico Perez Ponsa
Alexander_Zubov,Olexander Zubov
AlexLenderman,Aleksandr Lenderman
Craze,Max Illingworth
ARM-777777,Haik Martirosyan
wizard98,Sunilduth Lyna Narayanan
giraffepoacher,LM giraffepoacher
EltajSafarli,Eltaj Safarli
Amin_____tb,Amin Tabatabaei
KontraJaKO,Jose Martinez Alcantara
may6enexttime,Alexey Sarana
TribalDancer,GM TribalDancer
BabaRamdev,Akshat Chandra
Andrey_Esipenko,Andrey Esipenko
toivok3,Toivo Keinanen
KAstar,GM KAstar (X)
Peacefully,GM Peacefully
NeverEnough,Boris Grachev
Ogrilla,Grigoriy Oparin
retired93,GM retired93
Nikotheo,Nikolas Theodorou
AngelitoRT,Renato Terry
Liem_Chess,Le Quang Liem
MrBochwalt,GM MrBochwalt (X)
jlhammer,Jon Ludvig Hammer
gmwesleyso1993,Wesley So
UzbekTiger63,Tair Vahidov
Hussarius64,GM Hussarius64 (X)
Zaven_ChessMood,Zaven Andriasian
chesswarrior04,Nodirbek Abdusattorov
caching,GM caching
Grandelicious,Nils Grandelius
Azerichessss,Shakhriyar Mamedyarov
gmmoranda,Wojciech Moranda
howitzer14,David Howell
hiimgosu,Aman Hambleton
Zhalmakhanov_R,Ramazan Zhalmakhanov
MardakerXXX,Karen Grigoryan
Gogithewise,Anton Korobov
Kelevra317,GM Kelevra317 (X)
BahadirOzen,Bahadir Ozen
ZodabwitsaIM,IM ZodabwitsaIM
GMVallejo,Francisco Vallejo Pons
FrostWyrm,GM FrostWyrm
Chopper1905,Mustafa Yilmaz
Platy2,Alan Pichot
Fandorine96,Maksim Chigaev
GeorgMeier,Georg Meier
Mlchael,Mykola Bortnyk
MatthewG-p4p,Matvey Galchenko
Chesstoday,Zhamsaran Tsydypov
AntonSmirnov01,Anton Smirnov
Djeser,GM Djeser
MarveFleksnes,GM MarveFleksnes
xxysoul6,Xu Xiangyu
Feokl1995,Vladimir Fedoseev
Mario_Zagallo,GM Mario_Zagallo
anonymous_king64,GM anonymous_king64
CakeinSpace,GM CakeinSpace
kyart2,Aram Hakobyan
Eyesless18,GM Eyesless18
recapture,Aryan Tari
black_knight22,GM black_knight22
NIndja64,Aleksandar Indjic
Rain_Man,Samvel Ter-Sahakyan
Heisenberg01,Dincer Tasdogen
Creep30,Hrant Melkumyan
Siana,Yannick Gozzoli
hitter1999,Aravindh Chithambaram
Praggnanandhaachess,Rameshbabu Praggnanandhaa
kubalibre420,IM kubalibre420
Zkid,Steven Zierk
Khalilmousavii,Seyed Khalil Mousavi
Shant7777777,Shant Sargsyan
Evgeny_Levin,Evgeny Levin
temp006,GM temp006
gsvc,Guillermo Vazquez
DrVelja,Velimir Ivic
iamstraw,Brandon Jacobson
BMWHero,Shamsiddin Vokhidov
dmitrij_IM,Dmitrij Kollars
Satranc_Youtube,Cem Kaan Gokerkan
BlueGreensun,Vahap Sanal
MinhJTran,Tran Tuan Minh (X)
msb2,Matthias Bluebaum
MeneerMandje,Thomas Beerdsen
Yarebore,Pawel Teclaf
Sigma_Tauri,GM Sigma_Tauri
sumsar42,Rasmus Svane
Harsha_bharathakoti,Harsha Bharathakoti
VerdeNotte,Gawain Jones
Mapwright,GM Mapwright
dhoine98,Sergei Yudin
Kingdomino1,GM Kingdomino1
dr_x1qL0,IM dr_x1qL0 (X)
